Date : 2020-11-23 01:44:13
Directory : c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-
Total : 300 files,  7342 codes, 56 comments, 887 blanks, all 8285 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\rand0\rand0.c         | C        |          6 |          0 |          1 |          7 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\s_and_r\r_drive.c     | C        |         21 |          0 |          3 |         24 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\s_and_r\s_and_r.c     | C        |         10 |          0 |          3 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\storage\parta.c       | C        |         26 |          0 |          5 |         31 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\storage\partb.c       | C        |         20 |          0 |          5 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\test.c                | C        |          8 |          0 |          0 |          8 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter12\where.c               | C        |         26 |          0 |          4 |         30 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter1\1.1.c                  | C        |          9 |          0 |          3 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter1\concrete.c             | C        |          6 |          0 |          1 |          7 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\1.c           | C        |         13 |          1 |          1 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\2.c           | C        |         10 |          1 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\3.c           | C        |          9 |          0 |          3 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\4.c           | C        |         19 |          4 |          3 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\5.c           | C        |         22 |          0 |          4 |         26 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\6.c           | C        |         10 |          0 |          3 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\7.c           | C        |         18 |          0 |          4 |         22 |
