"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\1.c", "C", 19, 0, 0, 0, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\2.c", "C", 14, 0, 0, 2, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\3.c", "C", 19, 0, 0, 1, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\4.c", "C", 20, 0, 0, 1, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\5.c", "C", 14, 0, 0, 1, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\6.c", "C", 15, 0, 0, 0, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\7.c", "C", 17, 0, 0, 1, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\8.c", "C", 17, 0, 0, 2, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\9.c", "C", 25, 0, 0, 1, 26
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\rules.c", "C", 8, 0, 0, 2, 10
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\running.c", "C", 33, 0, 0, 4, 37
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\shoes1.c", "C", 12, 0, 0, 2, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\shoes2.c", "C", 17, 0, 0, 2, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\sizeof.c", "C", 9, 0, 0, 1, 10
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\squares.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\wheat.c", "C", 23, 0, 0, 2, 25
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\boolean.c", "C", 18, 0, 0, 3, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\cmpflt.c", "C", 16, 0, 0, 2, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\do_while.c", "C", 14, 0, 0, 2, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\entry.c", "C", 17, 0, 0, 3, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\for_cube.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\postage.c", "C", 11, 0, 0, 3, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\power.c", "C", 26, 0, 0, 2, 28
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\1.c", "C", 12, 0, 0, 0, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\10.c", "C", 18, 0, 0, 0, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\11.c", "C", 13, 0, 0, 2, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\12.c", "C", 43, 0, 0, 3, 46
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\13.c", "C", 17, 0, 0, 1, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\14.c", "C", 32, 0, 0, 0, 32
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\15.c", "C", 19, 0, 0, 1, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\16.c", "C", 17, 0, 0, 0, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\17.c", "C", 18, 0, 0, 0, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\18.c", "C", 14, 0, 0, 1, 15
